employee_id,supervisor_id,distance
1,1,0
2,1,1
2,2,0
4,1,1
4,4,0
5,1,1
5,5,0
6,1,1
6,6,0
7,1,1
7,7,0
8,1,2
8,5,1
8,8,0
9,1,2
9,5,1
9,9,0
10,1,1
10,10,0
11,1,2
11,5,1
11,11,0
12,1,2
12,5,1
12,12,0
13,1,2
13,5,1
13,13,0
14,1,2
14,5,1
14,14,0
15,1,2
15,5,1
15,15,0
16,1,2
16,5,1
16,16,0
17,1,2
17,5,1
17,17,0
18,1,2
18,4,1
18,18,0
19,1,2
19,4,1
19,19,0
20,1,2
20,2,1
20,20,0
21,1,2
21,2,1
21,21,0
22,1,2
22,2,1
22,22,0
23,1,3
23,2,2
23,20,1
23,23,0
24,1,3
24,2,2
24,20,1
24,24,0
25,1,3
25,2,2
25,21,1
25,25,0
26,1,3
26,2,2
26,21,1
26,26,0
27,1,3
27,2,2
27,21,1
27,27,0
28,1,3
28,2,2
28,21,1
28,28,0
29,1,3
29,2,2
29,22,1
29,29,0
30,1,3
30,2,2
30,22,1
30,30,0
31,1,3
31,2,2
31,22,1
31,31,0
32,1,3
32,2,2
32,22,1
32,32,0
33,1,3
33,2,2
33,22,1
33,33,0
34,1,3
34,2,2
34,22,1
34,34,0
35,1,3
35,2,2
35,22,1
35,35,0
36,1,1
36,36,0
37,1,2
37,6,1
37,37,0
38,1,2
38,6,1
38,38,0
39,1,2
39,6,1
39,39,0
40,1,2
40,6,1
40,40,0
41,1,2
41,36,1
41,41,0
42,1,2
42,36,1
42,42,0
43,1,2
43,7,1
43,43,0
44,1,2
44,7,1
44,44,0
45,1,2
45,10,1
45,45,0
46,1,2
46,10,1
46,46,0
47,1,2
47,10,1
47,47,0
48,1,2
48,10,1
48,48,0
49,1,2
49,10,1
49,49,0
50,1,2
50,10,1
50,50,0
51,1,2
51,10,1
51,51,0
52,1,2
52,10,1
52,52,0
53,1,4
53,2,3
53,21,2
53,25,1
53,53,0
54,1,5
54,2,4
54,21,3
54,25,2
54,53,1
54,54,0
55,1,5
