product_id,time_id,customer_id,promotion_id,store_id,store_sales,store_cost,unit_sales
1,369,4728,501,7,11.4,3.99,4
1,377,9788,0,13,8.55,4.0185,3
1,414,6666,0,17,8.55,4.1895,3
1,440,5313,0,24,8.55,3.762,3
1,463,916,0,7,11.4,4.902,4
1,474,4461,0,11,8.55,2.9925,3
1,489,1312,0,3,8.55,3.6765,3
1,500,9169,0,23,11.4,5.358,4
1,529,5607,0,6,11.4,4.902,4
1,534,456,0,15,11.4,4.332,4
1,570,923,0,15,8.55,2.736,3
1,574,9358,0,15,8.55,4.275,3
1,576,7704,0,3,5.7,2.508,2
1,590,3441,0,3,8.55,3.42,3
1,594,6248,1860,24,11.4,3.876,4
1,596,5929,0,15,14.25,5.5575,5
1,616,1565,0,24,8.55,4.1895,3
1,617,638,0,11,8.55,2.9925,3
1,628,9652,0,14,5.7,1.881,2
1,629,10140,0,17,8.55,2.9925,3
1,645,3528,0,17,8.55,3.8475,3
1,681,3065,0,3,5.7,2.508,2
1,698,2270,0,11,8.55,4.0185,3
1,720,157,1869,24,8.55,2.9925,3
1,722,4707,0,11,8.55,4.0185,3
1,727,8202,0,3,8.55,4.104,3
2,371,5009,0,7,2.96,1.2432,4
2,377,1773,0,13,1.48,0.666,2
2,377,3458,0,24,2.22,0.6882,3
2,379,878,0,3,2.22,0.9546,3
2,394,3211,0,2,0.74,0.296,1
2,395,3000,1293,17,2.22,0.777,3
2,400,4508,0,13,2.22,0.777,3
2,400,6956,0,13,1.48,0.7252,2
2,401,4575,0,15,3.7,1.739,5
2,412,9357,504,7,2.22,1.0878,3
2,423,7149,0,13,1.48,0.4736,2
2,430,1696,0,22,1.48,0.6216,2
2,443,2211,0,17,3.7,1.258,5
2,459,3000,0,17,2.22,0.7326,3
2,461,8306,0,24,2.22,0.7548,3
2,469,5635,508,6,2.22,0.9768,3
2,478,8526,0,11,1.48,0.592,2
2,480,663,1220,16,2.22,0.777,3
2,488,430,0,16,2.96,1.3616,4
2,503,1399,0,24,3.7,1.184,5
2,523,9788,986,13,2.22,1.0434,3
2,529,7035,0,7,1.48,0.592,2
2,538,5398,1303,17,2.96,1.3912,4
2,539,878,0,3,1.48,0.4736,2
2,539,4990,0,7,2.96,1.3024,4
2,551,9263,1225,16,2.22,0.7104,3
2,557,6836,0,7,2.96,1.1248,4
2,567,7780,0,13,2.22,0.7548,3
2,574,3759,0,13,2.22,1.0212,3
2,580,6978,1859,24,2.22,1.0878,3
2,581,2769,0,16,2.22,1.0434,3
2,585,8768,0,11,2.22,0.7326,3
2,594,5374,1228,16,2.22,0.7104,3
2,601,5104,0,24,2.22,0.8658,3
2,615,5763,0,24,2.96,1.48,4
2,628,5887,0,7,2.96,0.9176,4
2,636,1485,1152,15,2.22,1.0878,3
2,638,6712,0,16,2.22,0.8658,3
2,641,1209,0,24,2.96,1.332,4
2,646,4926,521,6,1.48,0.7252,2
2,647,8324,0,24,1.48,0.666,2
2,648,5259,521,7,2.96,0.9176,4
2,649,3596,837,11,2.22,0.7326,3
2,652,9591,0,7,1.48,0.5328,2
2,652,10020,837,11,2.96,1.1544,4
2,655,650,0,11,2.96,1.332,4
2,655,7897,0,15,1.48,0.4736,2
2,658,5161,0,6,2.96,0.9768,4
2,671,2278,0,7,1.48,0.518,2
2,676,8571,207,3,2.96,0.9768,4
2,677,6974,0,2,0.74,0.2294,1
2,685,4185,0,24,2.22,1.11,3
2,705,1415,1236,16,2.96,1.036,4
2,709,647,0,3,2.22,0.7548,3
2,717,6105,0,23,1.48,0.5772,2
2,718,9668,0,13,2.22,0.7548,3
3,371,8687,0,23,1.66,0.5146,2
3,373,6163,0,13,1.66,0.6474,2
3,379,4727,0,16,3.32,1.494,4
3,379,9006,0,17,1.66,0.664,2
3,383,720,1845,24,3.32,1.4276,4
3,386,7179,0,11,2.49,1.1703,3
3,400,161,1846,24,1.66,0.6142,2
3,428,1387,821,11,2.49,0.7968,3
3,439,3541,1138,15,2.49,1.1952,3
3,440,3321,0,24,3.32,1.494,4
3,446,4518,0,13,3.32,1.328,4
3,446,8659,0,13,2.49,1.1454,3
3,447,6388,0,11,3.32,1.0292,4
3,447,7241,0,17,1.66,0.5478,2
3,469,6061,0,17,3.32,1.0624,4
3,472,3258,0,6,2.49,1.1952,3
3,483,3633,1141,15,3.32,1.4276,4
3,500,5419,0,17,2.49,0.8964,3
3,515,8454,0,17,3.32,1.4276,4
3,527,1675,0,15,1.66,0.5312,2
3,532,6897,0,6,3.32,1.0956,4
3,534,9721,0,15,3.32,1.5604,4
3,547,7896,0,23,2.49,0.8217,3
3,553,8207,0,13,2.49,0.8466,3
3,569,1361,0,24,3.32,1.494,4
3,575,2233,0,14,1.66,0.7138,2
3,582,3952,0,7,1.66,0.6142,2
3,584,9812,0,13,2.49,0.8466,3
3,585,8288,0,7,1.66,0.664,2
3,612,8312,0,6,4.15,1.9505,5
3,644,8892,0,13,2.49,0.7719,3
3,646,9991,521,6,2.49,0.7719,3
3,653,1298,0,17,3.32,1.1288,4
